file_id,page,発注番号,段,紙質,巾,流れ,丁取り,罫線1,罫線2,罫線3,罫線4,罫線5,罫線6,罫線7,罫線8,罫線9,罫線10,罫線11,罫線12,罫線13,数量,納期,時間,場所,備考
20240115213129823,0,00068733,W,C5xC5,950,1440,,158,145,158,,,,,,,,,,,50,2024/01/17,,,
20240115213129823,0,00068734,W,K5xK5,1250,1880,2,179,240,179,,,,,,,,,,,51,2024/01/17,,,
20240115213129823,0,00068735,B,C5xC5,850,640,4,410,410,,,,,,,,,,,,63,2024/01/17,,,
20240115213129823,0,00068736,W,K5xK5,1300,1640,1,125,135,125,125,125,,,,,,,,,27,2024/01/17,,,
20240115213129823,0,00068737,W,K5xK5,1550,2165,1,150,160,150,150,150,,,,,,,,,27,2024/01/17,,,
20240115091245039,0,0115138721,,C5xC5 AF,1700,825,,100,625,100,,,,,,,,,,,103,2024/01/18,,,
20240115091245039,0,0115138722,,K5xK5 AF,1200,2242,,239,115,239,,,,,,,,,,,103,2024/01/18,,,
20240115091245039,0,0115138723,,,1250,1642,,164,270,164,,,,,,,,,,,103,2024/01/18,,,
20240115090913804,0,250123,A,K5K5,1250,1000,51,,,,,,,,,,,,,,,2024/01/16,,,
20240115100455299,0,250033,W,K5SK5,1300,1250,,,,,,,,,,,,,,,20,2024/01/16,,,
20240115100455299,0,250072,,K6SK6,1450,1637,,,,,,,,,,,,,,,27,2024/01/18,,,
20240115100455299,0,250075,W,K5SK5,1500,1455,,(136+220+136=492),492,,,,,,,,,,,,,84,2024/01/16,,,
20240115100455299,0,250076,W,C5SC5,1250,1507,,(166+285+166=617),617,,,,,,,,,,,,152,2024/01/16,,,
20240115100455299,0,250077,W,C5SC5,1400,1395,,(144+174+144=462),462,,,,,,,,,,,,68,2024/01/16,,,
20240115100455299,0,250078,W,C5SC5,1500,1375,,(157+406+157=720),720,,,,,,,,,,,,102,2024/01/18,,,
20240115100455299,0,250081,A,K5K5,1350,1220,,,,,,,,,,,,,,,20,2024/01/16,,,
20240115100455299,0,250090,W,K5SK5,1500,950,,,,,,,,,,,,,,,22,2024/01/16,,,
20240115100455299,0,250097,W,K5SK5,1450,1467,,,,,,,,,,,,,,,18,2024/01/16,,,
20240115100455299,0,250101,W,K5SK5,1250,1855,,,,,,,,,,,,,,,14,2024/01/16,,,
20240115104437111,0,,W,C5SC5,1450,1735,2,161,380,161,,,,,,,,,,,35,2024/02/01,,,HSR2ケース
20240115104437111,0,,W,C5SC5,1450,1735,2,161,380,161,,,,,,,,,,,30,2024/01/26,,,HSR2ケース
20240115104437111,0,,A,K5xK5,1600,2025,2,197,399,197,,,,,,,,,,,25,2024/01/18,,,第一　W
20240115104437111,0,,W,C5SC5,1000,2780,2,299,353,299,,,,,,,,,,,50,2024/01/18,,,SE-W　ロット50
20240115104437111,0,,A,K5xK5,950,2375,2,275,369,275,,,,,,,,,,,50,2024/01/16,,,第一　No.3
20240115104437111,0,,A,160g K5xK5,1250,2385,2,232,730,232,,,,,,,,,,,30,2024/01/16,,,湯楽
20240115104437111,0,,A,C5xC5,1400,1845,2,202,289,202,,,,,,,,,,,200,2024/01/16,,,D-4
20231013083259690,0,245627,A,K5 K5,1700 × 1817,100,10/16,192,180,270,192,,,,,,,,,,,2023/10/16,,,
20231013110357348,0,1013027011,W,K5SK5,1300,1194,2,146,345,146,,,,,,,,,,,53,2024/10/16 AM,,,NK217 Wカートン内寸280×280xH325
20231013110357348,0,1013028011,W,K5SK5,1250,1582,2,195,220,195,,,,,,,,,,,53,2024/10/16 AM,,,常カートン内寸370×370xH200
20231013110357348,0,1013030011,W,K5SK5,1100,1582,2,165,190,165,,,,,,,,,,,53,2024/10/16 AM,,,A4サイズ内寸430×310xH170ケース
20231013110357348,0,1013020011,W,K5SK5,1650,2142,2,228,350,228,,,,,,,,,,,53,2024/10/17 AM,,,外寸600×450xH350ダブル
20231013110357348,0,1013031011,W,K5SK5,1350,2422,2,260,130,260,,,,,,,,,,,28,2024/10/17 AM,,,NK371 Wカートン内寸660×500xH110
20231013110357348,0,1013031021,A,C5xC5,1050,660,2,500,,,,,,,,,,,,,52,2024/10/18 AM,,,NK371 シングル強化内寸660×500x
20230228082304842,0,C5XC5 AF,A,C5xC5,950 x 830,A,10,平 板,,,,,,,,,,,,,2023/03/01,2023/03/01,,,#59用パット
20240118081021110,0,250242,W,K5SK5,1250,1250,,,,,,,,,,,,,,,17,2024/01/19,,,
20240118081021110,0,250243,A,K5K5,1250,1240,,,,,,,,,,,,,,,17,2024/01/19,,,
20240118081021110,0,250244,A,K5K5,1200,1550,,124,340,124,,,,,,,,,,,101,2024/01/19,,,
20240118081021110,0,250245,A,K5K5,1300,1772,,,,,,,,,,,,,,,12,2024/01/19,,,
20240118081021110,0,250246,A,K5K5,1350,995,,,,,,,,,,,,,,,21,2024/01/19,,,
20240118081021110,0,250248,W,C5SC5,1250,1507,,,,,,,,,,,,,,,16,2024/01/19,,,
